Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/ostrov/tn.jpg;101648;782
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/tcepi/tn.jpg;91463;781
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video1/vid.jpg;31415;778
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/buhanka.jpg;18543;781
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/copypastre.jpg;23347;784
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/cotpadaet.jpg;12570;783
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/fireworks.jpg;8200;783
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/gorki.jpg;13522;779
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/happy.jpg;10118;779
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/hero.jpg;23396;778
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/kotofej.jpg;18199;781
"2013-07-05 13:37:49";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/mechet.jpg;8593;780
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/narkoman.jpg;19360;782
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/natali.jpg;15739;780
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/odnako.jpg;11853;780
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/openair.jpg;30517;781
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/reporter.jpg;12910;782
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/rickroll.jpg;23368;782
"2013-07-05 13:37:50";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/sinhron.jpg;18503;781
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/topor.jpg;17131;779
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/workout.jpg;7780;781
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/video/badland.jpg;9873;781
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/1.jpg;45476;780
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/2.jpg;23260;780
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/3.jpg;44853;780
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/4.jpg;32373;780
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/5.jpg;37348;780
"2013-07-05 13:37:51";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/auto/video/6.jpg;23959;780
"2013-07-05 13:37:52";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/dev/tn.jpg;78632;779
"2013-07-05 13:37:52";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/telebashni/tn.jpg;65590;786
"2013-07-05 13:37:52";OK;text/html;http://fishki.net/comment.php?;19621;840
"2013-07-05 13:37:52";OK;image/jpeg;http://ru.fishki.net/picsw/032013/14/flash/ii.jpg;49456;776
"2013-07-05 13:37:52";"Moved Permanently";text/html;http://fishki.net/picsw/022011/21/ret.gif;551;782
"2013-07-05 13:37:52";OK;image/jpeg;http://ru.fishki.net/picsw/032013/14/flash/ii1.jpg;47437;777
"2013-07-05 13:37:52";OK;image/jpeg;http://ru.fishki.net/picsw/122012/12/games/medieval.jpg;45350;782
"2013-07-05 13:37:53";"Moved Permanently";text/html;http://counter.marketgid.com/images/mui.gif?;517;397
"2013-07-05 13:37:53";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/film/tn.jpg;60853;780
"2013-07-05 13:37:53";OK;image/gif;"http://counter.yadro.ru/hit;Mgidohvat?";384;491
"2013-07-05 13:37:53";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/tolstaya/tn.jpg;41177;784
"2013-07-05 13:37:53";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/selectornews.jpg;12587;504
"2013-07-05 13:37:53";OK;image/gif;"http://counter.yadro.ru/hit;Mgidohvat?";384;495
"2013-07-05 13:37:53";"Не изменено";-;http://rb.ondu.ru/static/counter.js;275;396
"2013-07-05 13:37:53";"Moved Permanently";text/html;http://fishki.net/jslib/popup_knopka.js?;556;808
"2013-07-05 13:37:53";"Moved Permanently";text/html;http://fishki.net/jslib/jquery.ba-bbq.js;550;802
"2013-07-05 13:37:53";"Moved Permanently";text/html;http://fishki.net/jslib/jquery.popup_image.fishki.js?;569;821
"2013-07-05 13:37:53";OK;application/x-javascript;http://ru.fishki.net/jslib/clipboard.js;11793;787
"2013-07-05 13:37:53";OK;image/gif;"http://counter.yadro.ru/hit;Mgidohvat/ni?";384;494
"2013-07-05 13:37:53";OK;image/gif;http://mg.yadro.ru/id.gif?;379;443
"2013-07-05 13:37:53";OK;image/jpeg;http://imgn.dt00.net/1375/1375250.jpg;5111;355
"2013-07-05 13:37:53";OK;image/jpeg;http://imgn.dt00.net/2250/2250028.jpg;4958;355
"2013-07-05 13:37:53";OK;image/jpeg;http://178.218.216.108/uploads/images/100x100/___a2b5157cc7cabedeb5eb93fdded9f1dd___negolist.com.jpg;11639;437
"2013-07-05 13:37:53";OK;application/x-javascript;http://www.nnn.ru/show.cgi?;741;403
